,Neighborhood,city,name,address,rating,user_ratings_total,types,lat,long
201,Batignolles-Monceau,Paris,Hôtel De Nantes,"3 Rue Boulay, Paris",3.9,275,"['lodging', 'point_of_interest', 'establishment']",48.89300189999999,2.3167206
202,Batignolles-Monceau,Paris,Art Hôtel Congrès,"44 Rue Gauthey, Paris",2.6,116,"['secondary_school', 'school', 'point_of_interest', 'establishment']",48.892905,2.321625
203,Batignolles-Monceau,Paris,Tingis,"2 Rue Émile Level, Paris",4.2,66,"['car_repair', 'point_of_interest', 'store', 'establishment']",48.8921576,2.3177334
204,Batignolles-Monceau,Paris,International School Honoré-De-Balzac,"118 Boulevard Bessières, Paris",NaN,NaN,"['cemetery', 'point_of_interest', 'establishment']",48.8959854,2.315178099999999
205,Batignolles-Monceau,Paris,CdH Lantiez,"26 Rue Lantiez, Paris",3.8,96,"['gas_station', 'car_wash', 'convenience_store', 'car_repair', 'food', 'point_of_interest', 'store', 'establishment']",48.8948093,2.3237981
206,Batignolles-Monceau,Paris,Euromaster,"181 TER Avenue de Clichy, Paris",3.3,41,"['car_repair', 'point_of_interest', 'establishment']",48.89302479999999,2.3155713
207,Batignolles-Monceau,Paris,Batignolles Cemetery,France,4.2,368,"['point_of_interest', 'establishment']",48.8980221,2.3166165
208,Batignolles-Monceau,Paris,TOTAL,"190 Avenue de Clichy, Paris",4.5,54,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",48.8936458,2.3152559
209,Batignolles-Monceau,Paris,Neoness Paris Place De Clichy Batignolles,"5 Rue Bernard Buffet, Paris",NaN,NaN,"['restaurant', 'food', 'point_of_interest', 'establishment']",48.89207899999999,2.3160928
210,Batignolles-Monceau,Paris,Tesa Sécurité - Controle Technique Autosur Paris 17,"113 Boulevard Bessières, Paris",5,1,"['real_estate_agency', 'point_of_interest', 'establishment']",48.89482049999999,2.315679599999999
211,Batignolles-Monceau,Paris,F I M,"105 Rue des Moines, Paris",2.4,33,"['point_of_interest', 'establishment']",48.8930906,2.3227556
212,Batignolles-Monceau,Paris,CCIP Délégation formation & compétences (DFC),"163 Avenue de Clichy, Paris",3.6,16,,48.89206670000001,2.3172286
213,Batignolles-Monceau,Paris,Attijariwafa bank Europe,"181 Avenue de Clichy, Paris",NaN,NaN,,48.8930737,2.3156191
214,Batignolles-Monceau,Paris,DRIMA Avenue de Clichy (Fermeture pour Travaux),"171 Avenue de Clichy, Paris",4,5,,48.8924867,2.3166248
215,Batignolles-Monceau,Paris,Century 21,"55 Rue de La Jonquière, Paris",5,2,,48.893745,2.321892000000001
216,Batignolles-Monceau,Paris,ADN Déménagement,"30 Rue Pouchet, Paris",NaN,NaN,,48.8930735,2.3198176
217,Batignolles-Monceau,Paris,Diligence Courses,"21 Rue Boulay, Paris",,,,48.89395269999999,2.3173826
218,Batignolles-Monceau,Paris,A.C.D. - Ascenseurs Cartes Dépannages,"20 Rue Baron, Paris",,,,48.8949691,2.3232192
219,Batignolles-Monceau,Paris,17th arrondissement of Paris,17th arrondissement of Paris,,,,48.8849962,2.2971898
300,Observatoire,Paris,Paris,Paris,NaN,NaN,"['lodging', 'point_of_interest', 'establishment']",48.85661400000001,2.3522219
301,Observatoire,Paris,Hôtel du Parc Montsouris,"4 Rue du Parc de Montsouris, Paris",3.6,1244,"['lodging', 'point_of_interest', 'establishment']",48.8224155,2.3345877
302,Observatoire,Paris,ibis budget Paris Porte d'Orléans,"15 - 21 Boulevard Romain Rolland, Paris",3.8,298,"['hospital', 'health', 'point_of_interest', 'establishment']",48.8194841,2.3263139
303,Observatoire,Paris,Villa Royale Montsouris,"144 Rue de la Tombe Issoire, Paris",3.9,360,"['local_government_office', 'point_of_interest', 'establishment']",48.8234765,2.3306974
304,Observatoire,Paris,Institute Mutualiste Montsouris,"42 Boulevard Jourdan, Paris",4.4,2659,"['point_of_interest', 'establishment']",48.822009,2.3327172
305,Observatoire,Paris,Préfecture de Police — Centre de Réception des étudiants étrangers et chercheurs internationaux,"17 Boulevard Jourdan, Paris",4.3,7,"['point_of_interest', 'establishment']",48.8198027,2.3385613
306,Observatoire,Paris,Kiloutou,"1 Rue Monticelli, Paris",4.8,11,"['restaurant', 'food', 'point_of_interest', 'establishment']",48.8221317,2.3293108
