last_review,ma10
2019-01-01,2591.9
2019-01-02,2035.8
2019-01-03,1568.4
2019-01-04,1313.9
2019-01-05,1093.6
2019-01-06,866.9
2019-01-07,673.9
2019-01-08,611.8
2019-01-09,608.3
2019-01-10,625.6
2019-01-11,764.1
2019-01-12,830.6
2019-01-13,880.3
2019-01-14,856.2
2019-01-15,884.2
2019-01-16,931.2
2019-01-17,969.2
2019-01-18,1101.2
2019-01-19,1117.9
2019-01-20,1090.0
2019-01-21,943.9
2019-01-22,873.2
2019-01-23,823.6
2019-01-24,809.8
2019-01-25,871.1
2019-01-26,845.4
2019-01-27,802.4
2019-01-28,649.6
2019-01-29,596.0
2019-01-30,585.7
2019-01-31,561.1
2019-02-01,561.9
2019-02-02,532.5
2019-02-03,492.0
2019-02-04,377.4
2019-02-05,362.1
2019-02-06,397.7
2019-02-07,430.1
2019-02-08,523.5
2019-02-09,560.3
2019-02-10,578.1
2019-02-11,557.7
2019-02-12,583.6
2019-02-13,629.4
2019-02-14,666.3
2019-02-15,814.9
2019-02-16,849.5
2019-02-17,842.4
2019-02-18,769.8
2019-02-19,777.6
2019-02-20,801.3
2019-02-21,811.7
2019-02-22,914.4
2019-02-23,936.6
2019-02-24,969.7
2019-02-25,863.5
2019-02-26,844.6
2019-02-27,895.9
2019-02-28,930.3
2019-03-01,1017.5
2019-03-02,1024.0
2019-03-03,992.0
2019-03-04,852.8
2019-03-05,788.7
2019-03-06,737.0
2019-03-07,709.1
2019-03-08,754.9
2019-03-09,736.0
2019-03-10,693.6
2019-03-11,576.3
2019-03-12,550.1
2019-03-13,591.2
2019-03-14,639.2
2019-03-15,791.6
2019-03-16,857.9
2019-03-17,876.3
2019-03-18,806.6
2019-03-19,783.9
2019-03-20,813.0
2019-03-21,838.5
2019-03-22,964.5
2019-03-23,980.7
2019-03-24,961.7
2019-03-25,844.8
2019-03-26,807.7
2019-03-27,832.9
2019-03-28,856.5
2019-03-29,967.4
2019-03-30,994.6
2019-03-31,967.6
2019-04-01,825.2
2019-04-02,772.1
2019-04-03,766.6
2019-04-04,743.5
2019-04-05,785.6
2019-04-06,770.5
2019-04-07,771.0
2019-04-08,689.6
2019-04-09,686.0
2019-04-10,756.0
2019-04-11,814.4
2019-04-12,948.8
2019-04-13,1182.3
2019-04-14,1269.0
2019-04-15,1234.6
2019-04-16,1244.9
2019-04-17,1295.1
2019-04-18,1328.4
2019-04-19,1406.8
2019-04-20,1389.6
2019-04-21,1405.4
2019-04-22,1329.7
2019-04-23,1117.2
2019-04-24,1095.1
2019-04-25,1127.5
2019-04-26,1227.3
2019-04-27,1191.6
2019-04-28,1112.8
2019-04-29,969.1
2019-04-30,898.7
2019-05-01,828.2
2019-05-02,777.5
2019-05-03,810.8
2019-05-04,771.1
2019-05-05,697.3
2019-05-06,544.5
2019-05-07,509.8
2019-05-08,553.4
2019-05-09,593.5
2019-05-10,716.5
2019-05-11,768.8
2019-05-12,806.0
2019-05-13,791.2
2019-05-14,825.3
2019-05-15,879.0
2019-05-16,920.6
2019-05-17,1006.0
2019-05-18,1021.5
2019-05-19,1034.8
2019-05-20,946.4
2019-05-21,930.4
2019-05-22,991.7
2019-05-23,1060.8
2019-05-24,1310.7
2019-05-25,1361.0
2019-05-26,1355.9
2019-05-27,1289.8
2019-05-28,1244.2
2019-05-29,1204.6
2019-05-30,1186.9
2019-05-31,1217.6
2019-06-01,1217.3
2019-06-02,1118.5
2019-06-03,823.1
2019-06-04,720.4
2019-06-05,697.5
2019-06-06,693.7
2019-06-07,793.5
2019-06-08,835.7
2019-06-09,857.1
2019-06-10,835.9
2019-06-11,800.0
2019-06-12,868.2
2019-06-13,929.5
2019-06-14,1140.5
2019-06-15,1251.0
2019-06-16,1310.7
2019-06-17,1305.1
2019-06-18,1346.3
2019-06-19,1426.2
2019-06-20,1487.5
2019-06-21,1658.0
2019-06-22,1710.4
2019-06-23,1715.8
2019-06-24,1576.4
2019-06-25,1565.4
2019-06-26,1626.5
2019-06-27,1646.4
2019-06-28,1825.9
2019-06-29,1845.3
2019-06-30,1824.7
2019-07-01,1663.9
2019-07-02,1562.3
2019-07-03,1541.2
2019-07-04,1510.7
2019-07-05,1477.4
2019-07-06,1400.2
2019-07-07,1318.0
2019-07-08,1089.2
2019-07-09,1003.0
2019-07-10,973.3
2019-07-11,963.0
2019-07-12,1023.9
2019-07-13,1023.6
2019-07-14,1018.3
2019-07-15,991.1
2019-07-16,965.8
2019-07-17,981.4
2019-07-18,995.8
2019-07-19,1068.3
2019-07-20,1109.0
2019-07-21,1098.7
2019-07-22,1076.9
2019-07-23,1049.3
2019-07-24,1049.5
2019-07-25,1034.1
2019-07-26,1052.0
2019-07-27,1042.0
2019-07-28,1037.9
2019-07-29,981.5
2019-07-30,950.7
2019-07-31,977.4
2019-08-01,964.2
2019-08-02,1024.5
2019-08-03,1036.6
2019-08-04,1020.6
2019-08-05,969.4
2019-08-06,936.0
2019-08-07,937.5
2019-08-08,926.8
2019-08-09,949.8
2019-08-10,914.2
2019-08-11,867.4
2019-08-12,801.1
2019-08-13,786.3
2019-08-14,813.4
2019-08-15,847.0
2019-08-16,928.9
2019-08-17,937.1
2019-08-18,914.7
