last_review,ma20
2019-01-01,1855.2
2019-01-02,1421.2
2019-01-03,1062.25
2019-01-04,874.0
2019-01-05,764.15
2019-01-06,695.85
2019-01-07,629.9
2019-01-08,626.45
2019-01-09,625.95
2019-01-10,624.2
2019-01-11,625.6
2019-01-12,638.35
2019-01-13,635.15
2019-01-14,597.1
2019-01-15,581.15
2019-01-16,564.1
2019-01-17,552.2
2019-01-18,536.95
2019-01-19,518.35
2019-01-20,506.35
2019-01-21,472.8
2019-01-22,452.1
2019-01-23,452.9
2019-01-24,450.75
2019-01-25,446.75
2019-01-26,432.8
2019-01-27,430.7
2019-01-28,395.25
2019-01-29,436.45
2019-01-30,500.85
2019-01-31,516.9
2019-02-01,520.3
2019-02-02,517.7
2019-02-03,526.05
2019-02-04,540.8
2019-02-05,586.5
2019-02-06,605.2
2019-02-07,615.25
2019-02-08,619.95
2019-02-09,641.3
2019-02-10,657.45
2019-02-11,654.4
2019-02-12,697.75
2019-02-13,722.0
2019-02-14,734.85
2019-02-15,742.4
2019-02-16,729.0
2019-02-17,715.25
2019-02-18,661.8
2019-02-19,615.75
2019-02-20,607.35
2019-02-21,588.2
2019-02-22,586.6
2019-02-23,581.85
2019-02-24,575.35
2019-02-25,555.4
2019-02-26,602.8
2019-02-27,632.35
2019-02-28,650.15
2019-03-01,646.8
2019-03-02,639.0
2019-03-03,630.85
2019-03-04,600.55
2019-03-05,633.0
2019-03-06,650.65
2019-03-07,656.55
2019-03-08,671.9
2019-03-09,683.3
2019-03-10,695.45
2019-03-11,703.9
2019-03-12,792.4
2019-03-13,832.25
2019-03-14,844.15
2019-03-15,845.85
2019-03-16,828.25
2019-03-17,798.8
2019-03-18,744.0
2019-03-19,733.6
2019-03-20,727.05
2019-03-21,716.0
2019-03-22,713.2
2019-03-23,710.6
2019-03-24,695.55
2019-03-25,646.2
2019-03-26,657.3
2019-03-27,675.25
2019-03-28,685.35
2019-03-29,694.9
2019-03-30,696.4
2019-03-31,692.15
2019-04-01,614.3
2019-04-02,638.35
2019-04-03,672.2
2019-04-04,695.45
2019-04-05,723.2
2019-04-06,746.6
2019-04-07,766.05
2019-04-08,786.7
2019-04-09,858.9
2019-04-10,898.8
2019-04-11,943.5
2019-04-12,966.25
2019-04-13,976.95
2019-04-14,980.4
2019-04-15,948.8
2019-04-16,942.35
2019-04-17,933.3
2019-04-18,918.35
2019-04-19,903.35
2019-04-20,876.25
2019-04-21,860.95
2019-04-22,810.4
2019-04-23,794.55
2019-04-24,786.65
2019-04-25,778.45
2019-04-26,778.3
2019-04-27,774.0
2019-04-28,754.75
2019-04-29,713.75
2019-04-30,762.0
2019-05-01,757.3
2019-05-02,753.5
2019-05-03,763.0
2019-05-04,775.4
2019-05-05,793.45
2019-05-06,808.7
2019-05-07,866.35
2019-05-08,957.2
2019-05-09,993.3
2019-05-10,1012.45
2019-05-11,1028.75
2019-05-12,1068.75
2019-05-13,1078.75
2019-05-14,1098.4
2019-05-15,1096.8
2019-05-16,1080.0
2019-05-17,1058.1
2019-05-18,1031.1
2019-05-19,986.45
2019-05-20,899.15
2019-05-21,874.55
2019-05-22,861.35
2019-05-23,840.75
2019-05-24,819.15
2019-05-25,797.2
2019-05-26,766.2
2019-05-27,710.15
2019-05-28,647.0
2019-05-29,618.95
2019-05-30,607.7
2019-05-31,598.0
2019-06-01,558.15
2019-06-02,536.8
2019-06-03,528.8
2019-06-04,598.15
2019-06-05,643.2
2019-06-06,664.15
2019-06-07,680.75
2019-06-08,694.15
2019-06-09,702.9
2019-06-10,715.3
2019-06-11,818.4
2019-06-12,917.25
2019-06-13,954.6
2019-06-14,967.15
2019-06-15,969.4
2019-06-16,988.6
2019-06-17,991.8
2019-06-18,1036.75
2019-06-19,1033.05
2019-06-20,1013.15
2019-06-21,993.2
2019-06-22,971.05
2019-06-23,941.85
2019-06-24,866.0
2019-06-25,844.15
2019-06-26,837.8
2019-06-27,830.95
2019-06-28,825.85
2019-06-29,817.2
2019-06-30,795.6
2019-07-01,702.7
2019-07-02,656.5
2019-07-03,647.75
2019-07-04,646.75
2019-07-05,645.85
2019-07-06,624.05
2019-07-07,602.65
2019-07-08,566.95
2019-07-09,620.0
2019-07-10,654.95
2019-07-11,685.55
2019-07-12,731.95
2019-07-13,754.2
2019-07-14,771.5
2019-07-15,776.55
2019-07-16,812.25
2019-07-17,826.9
2019-07-18,819.05
2019-07-19,806.15
2019-07-20,787.65
2019-07-21,762.75
2019-07-22,719.5
2019-07-23,707.7
2019-07-24,699.25
2019-07-25,693.25
2019-07-26,685.1
2019-07-27,676.25
2019-07-28,657.2
2019-07-29,608.8
2019-07-30,600.4
2019-07-31,588.25
2019-08-01,549.6
2019-08-02,533.25
2019-08-03,516.2
2019-08-04,498.45
2019-08-05,468.55
2019-08-06,495.75
2019-08-07,537.35
2019-08-08,565.2
2019-08-09,591.55
2019-08-10,617.7
2019-08-11,616.1
2019-08-12,641.0
2019-08-13,691.35
2019-08-14,783.8
2019-08-15,816.8
2019-08-16,827.9
2019-08-17,838.05
2019-08-18,843.4
2019-08-19,848.0
2019-08-20,900.8
2019-08-21,938.15
2019-08-22,957.1
2019-08-23,966.2
2019-08-24,965.6
2019-08-25,946.55
2019-08-26,898.2
2019-08-27,873.25
2019-08-28,854.25
2019-08-29,833.9
2019-08-30,811.35
2019-08-31,800.75
2019-09-01,762.9
2019-09-02,715.85
2019-09-03,653.8
2019-09-04,638.45
2019-09-05,640.0
2019-09-06,645.2
2019-09-07,647.25
2019-09-08,649.5
2019-09-09,624.35
2019-09-10,666.95
2019-09-11,725.25
2019-09-12,738.85
2019-09-13,740.15
2019-09-14,752.0
2019-09-15,766.95
2019-09-16,780.4
2019-09-17,854.9
2019-09-18,907.85
2019-09-19,940.8
2019-09-20,964.5
2019-09-21,981.7
2019-09-22,997.1
2019-09-23,1012.85
2019-09-24,1080.5
2019-09-25,1165.2
2019-09-26,1172.0
2019-09-27,1169.0
2019-09-28,1159.2
2019-09-29,1144.85
2019-09-30,1075.4
2019-10-01,1038.95
2019-10-02,1037.15
2019-10-03,1040.35
2019-10-04,1042.6
2019-10-05,1040.5
2019-10-06,1031.3
2019-10-07,981.2
2019-10-08,1005.95
2019-10-09,1013.1
2019-10-10,1014.55
2019-10-11,1007.75
2019-10-12,1002.35
2019-10-13,963.65
2019-10-14,872.6
2019-10-15,784.4
2019-10-16,762.5
2019-10-17,742.55
2019-10-18,717.0
2019-10-19,684.9
2019-10-20,662.95
2019-10-21,615.5
2019-10-22,614.45
2019-10-23,612.0
2019-10-24,600.35
2019-10-25,583.9
2019-10-26,560.65
2019-10-27,534.65
2019-10-28,466.3
2019-10-29,468.0
2019-10-30,462.55
2019-10-31,456.5
2019-11-01,445.5
2019-11-02,440.85
2019-11-03,445.25
2019-11-04,433.2
2019-11-05,450.85
2019-11-06,459.15
2019-11-07,463.75
2019-11-08,468.9
2019-11-09,473.7
2019-11-10,482.7
2019-11-11,496.65
2019-11-12,537.7
2019-11-13,552.6
2019-11-14,563.5
2019-11-15,566.95
2019-11-16,560.45
2019-11-17,536.75
2019-11-18,
2019-11-19,
2019-11-20,
2019-11-21,
2019-11-22,
2019-11-23,
2019-11-24,
2019-11-25,
2019-11-26,
2019-11-27,
2019-11-28,
2019-11-29,
2019-11-30,
2019-12-01,
2019-12-02,
2019-12-03,
2019-12-04,
2019-12-05,
2019-12-06,
