last_review,ma10
2019-09-08,677.8
2019-09-09,547.8
2019-09-10,462.9
2019-09-11,421.6
2019-09-12,413.4
2019-09-13,458.2
2019-09-14,497.0
2019-09-15,527.8
2019-09-16,532.7
2019-09-17,562.5
2019-09-18,621.2
2019-09-19,700.9
2019-09-20,871.0
2019-09-21,1028.9
2019-09-22,1064.3
2019-09-23,1022.1
2019-09-24,1007.0
2019-09-25,1006.1
2019-09-26,1028.1
2019-09-27,1147.3
2019-09-28,1194.5
2019-09-29,1180.7
2019-09-30,1058.0
2019-10-01,934.5
2019-10-02,929.9
2019-10-03,1003.6
2019-10-04,1154.0
2019-10-05,1324.3
2019-10-06,1315.9
2019-10-07,1190.7
2019-10-08,1123.9
2019-10-09,1109.0
2019-10-10,1092.8
2019-10-11,1143.4
2019-10-12,1144.4
2019-10-13,1077.1
2019-10-14,931.2
2019-10-15,756.7
2019-10-16,746.7
2019-10-17,771.7
2019-10-18,888.0
2019-10-19,917.2
2019-10-20,936.3
2019-10-21,872.1
2019-10-22,860.3
2019-10-23,850.2
2019-10-24,814.0
2019-10-25,812.1
2019-10-26,778.3
2019-10-27,713.4
2019-10-28,546.0
2019-10-29,452.6
2019-10-30,389.6
2019-10-31,358.9
2019-11-01,368.6
2019-11-02,373.8
2019-11-03,386.7
2019-11-04,355.7
2019-11-05,343.0
2019-11-06,355.9
2019-11-07,386.6
2019-11-08,483.4
2019-11-09,535.5
2019-11-10,554.1
2019-11-11,522.4
2019-11-12,507.9
2019-11-13,503.8
2019-11-14,510.7
2019-11-15,558.7
2019-11-16,562.4
2019-11-17,540.9
2019-11-18,454.4
2019-11-19,411.9
2019-11-20,411.3
2019-11-21,470.9
2019-11-22,567.5
2019-11-23,601.4
2019-11-24,616.3
2019-11-25,575.2
2019-11-26,558.5
2019-11-27,532.6
2019-11-28,
2019-11-29,
2019-11-30,
2019-12-01,
2019-12-02,
2019-12-03,
2019-12-04,
2019-12-05,
2019-12-06,
